Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
220874,2022,08/24/2023,New Haven,110 SOUTH END RD,147000.00,275000.00,0.5345,Residential,Single Family,,,,POINT (-72.890774958 41.252931017)
221503,2022,12/02/2022,Manchester,233 VERNON STREET,152200.00,269900.00,0.5639,Residential,Single Family,25 - Other,EXECUTORS DEED,,POINT (-72.492618967 41.792384983)
220298,2022,08/14/2023,New Canaan,173 BUTLER LA,1076670.00,2575000.00,0.4181,Residential,Single Family,,,,POINT (-73.478154006 41.124023004)
220947,2022,09/19/2023,Greenwich,RIVER ROAD 0009 UN403,332780.00,704000.00,0.4726,Residential,Condo,,,,POINT (-73.595558975 41.034871497)
2200598,2022,09/07/2023,East Hartford,188 GREAT HILL RD,134450.00,180000.00,0.7469,Residential,Single Family,,,,POINT (-72.597908998 41.773783989)
220653,2022,06/14/2023,Meriden,82 AMITY ST,131460.00,200000.00,0.6573,Residential,Two Family,,,,POINT (-72.783386015 41.558647985)
2200199,2022,01/27/2023,East Hartford,137 BEACON HILL RD,138480.00,255000.00,0.5430,Residential,Single Family,,,,POINT (-72.58209 41.78814001)
2222071,2022,12/28/2022,Ansonia,33 MOTT ST,200830.00,190000.00,1.0570,Residential,Single Family,26 - Rehabilitation Deferred,"LOW SALE, SOLD AS-IS FIXER-UPPER",,POINT (-73.074733006 41.344044987)
220777,2022,06/21/2023,Milford,10 DERBY AVE,504010.00,999000.00,0.5045,Residential,Single Family,,,,POINT (-73.097795981 41.179206018)
220068,2022,05/04/2023,New Hartford,11 TEN STREET,100870.00,270000.00,0.3735,Residential,Single Family,,,,POINT (-72.965223022 41.87566598)
220016,2022,11/18/2022,Hebron,397 CHURCH ST,250040.00,415000.00,0.6025,Residential,Single Family,,,,POINT (-72.345918982 41.638551998)
220571,2022,06/01/2023,Greenwich,9 DORCHESTER LANE,1226260.00,775000.00,1.5823,Residential,Single Family,08 - Part Interest,,,POINT (-73.580127989 41.038306016)
2200226,2022,07/05/2023,Bloomfield,13 BREWER DR,127260.00,315000.00,0.4040,Residential,Single Family,,,,POINT (-72.744989019 41.834225013)
220065,2022,10/28/2022,New Haven,54 BARNES AV #A-4,30660.00,91000.00,0.3369,Residential,Condo,,,,POINT (-72.878268991 41.325005997)
22012,2022,10/31/2022,Burlington,46 DANIEL TRACE,499940.00,765000.00,0.6535,Residential,Single Family,,,,POINT (-72.930450026 41.788597997)
2200589,2022,09/01/2023,East Hartford,796 FORBES ST,151910.00,335000.00,0.4534,Residential,Single Family,,,,POINT (-72.60276103 41.753638001)
22093,2022,03/02/2023,Derby,37 BURTVILLE AVE UNIT 14,93170.00,250000.00,0.3726,Residential,Condo,,,,POINT (-73.075193729 41.307457689)
220477,2022,04/04/2023,Meriden,170 OAK ST,130270.00,336000.00,0.3877,Residential,Two Family,25 - Other,AMENITIES MISSING,,POINT (-72.801994007 41.528038993)
220055,2022,05/31/2023,Durham,321 PARMELEE HILL RD,325500.00,800000.00,0.4068,Residential,Single Family,,,,POINT (-72.709584028 41.460272019)
22000367,2022,08/28/2023,Cheshire,15 NOB HILL RD,180190.00,192500.00,0.9361,Residential,Single Family,08 - Part Interest,2 DEEDS SEE V3190 P32,,POINT (-72.885097979 41.527423007)
220071,2022,10/12/2022,Bridgeport,3200 MADISON AVE #B30,73190.00,170000.00,0.4305,Residential,Condo,,,,POINT (-73.22635099 41.217538012)
220093,2022,05/11/2023,Brooklyn,49 ANDERSON RD,30400.00,26000.00,1.1692,Residential,Single Family,08 - Part Interest,,,POINT (-71.951311972 41.768060993)
22294,2022,08/09/2023,Montville,145 GALLIVAN LN UNIT 3C,63910.00,85000.00,0.7518,Residential,Single Family,,,,POINT (-72.112282986 41.484272006)
220649,2022,05/15/2023,Hartford,108 ENFIELD ST,44505.00,215000.00,0.2070,Residential,Single Family,,,,POINT (-72.684470002 41.784117996)
2200127,2022,06/21/2023,New Fairfield,4 MIDDLETON RD,222700.00,586000.00,0.3800,Residential,Single Family,,,,POINT (-73.496561001 41.460996005)
2200395,2022,05/24/2023,East Hartford,46 COLUMBUS ST,117480.00,245000.00,0.4795,Residential,Single Family,07 - Change in Property,,,POINT (-72.622476021 41.782839001)
220061,2022,10/11/2022,Bridgeport,640 LAUREL AVE,131740.00,360000.00,0.3659,Residential,Single Family,,,,POINT (-73.209558014 41.17738199)
220126,2022,12/20/2022,Harwinton,4 FIELD STONE WAY,67760.00,118000.00,0.5742,Vacant Land,,,,,POINT (-73.075287757 41.801368358)
22083,2022,05/24/2023,Haddam,555 CANDLEWOOD HILL RD,342070.00,480000.00,0.7126,Residential,Single Family,,,,POINT (-72.598534959 41.469318984)
220413,2022,03/14/2023,Hamden,144 BROOKSVALE AVE,232190.00,270000.00,0.8599,Residential,Single Family,,,,POINT (-72.916603961 41.443446982)
22000011,2022,10/12/2022,Cheshire,725 YALESVILLE RD,238160.00,415300.00,0.5734,Residential,Single Family,,,,POINT (-72.871600014 41.499914984)
